match_id,Pt,Set1,Set2,Gm1,Gm2,Pts,Gm#,TbSet,TB?,TBpt,Svr,Ret,Serving,1st,2nd,Notes,1stNoLet,2ndNoLet,1stSV,2ndSV,1stNoSV,2ndNoSV,1stIn,2ndIn,isRally1st,isRally2nd,Sv1,Sv2,Rally,isAce,isUnret,isRallyWinner,isForced,isUnforced,isDouble,rallyNoSpec,rallyNoError,rallyNoDirection,rallyLen,PtWinner,isSvrWinner,PtsAfter,GmW,Gm1,Gm2,SetW,Set1,Set2,RevTB,TBrev,rallyCount
20180128-M-Australian_Open-F-Marin_Cilic-Roger_Federer,1,0,0,0,0,0-0,1,1,0,,1,2,MC,4f3n#,,Cilic won the toss and elected to serve. Already he bounces the ball 18 times on the very first point - that quirk of his is rather annoying.,4f3n#,,0,,4f3n#,,1,,1,0,4,,f3n#,0,0,0,1,0,0,f3n,f3,f,1,1,1,15-0,0,0,0,0,0,0,,,1
20180128-M-Australian_Open-F-Marin_Cilic-Roger_Federer,2,0,0,0,0,15-0,1,1,0,,1,2,MC,4s39b3n@,,,4s39b3n@,,0,,4s39b3n@,,1,,1,0,4,,s39b3n@,0,0,0,0,1,0,s39b3n,s39b3,sb,2,2,0,15-15,0,0,0,0,0,0,,,2
20180128-M-Australian_Open-F-Marin_Cilic-Roger_Federer,3,0,0,0,0,15-15,1,1,0,,1,2,MC,6b2n#,,,6b2n#,,0,,6b2n#,,1,,1,0,6,,b2n#,0,0,0,1,0,0,b2n,b2,b,1,1,1,30-15,0,0,0,0,0,0,,,1
20180128-M-Australian_Open-F-Marin_Cilic-Roger_Federer,4,0,0,0,0,30-15,1,1,0,,1,2,MC,6w,4b28b2d@,Federer's return isn't deep enough to force the error but its pace throws Cilic off anyway.,6w,4b28b2d@,0,0,6w,4b28b2d@,0,1,0,1,6w,4,b28b2d@,0,0,0,0,1,0,b28b2d,b28b2,bb,2,2,0,30-30,0,0,0,0,0,0,,,2
20180128-M-Australian_Open-F-Marin_Cilic-Roger_Federer,5,0,0,0,0,30-30,1,1,0,,1,2,MC,6d,6b18*,,6d,6b18*,0,0,6d,6b18*,0,1,0,1,6d,6,b18*,0,0,1,0,0,0,b18,b18,b,1,2,0,30-40,0,0,0,0,0,0,,,2
20180128-M-Australian_Open-F-Marin_Cilic-Roger_Federer,6,0,0,0,0,30-40,1,1,0,,1,2,MC,4s39f3s3f+1l2o=3n@,,There's a rally off a 2nd serve where Cilic's shot is called out but his challenge proves correct (the first of many) so the point is replayed Cilic still loses it with a bad smash miss.,4s39f3s3f+1l2o=3n@,,0,,4s39f3s3f+1l2o=3n@,,1,,1,0,4,,s39f3s3f+1l2o=3n@,0,0,0,0,1,0,  ,s39f3s3f1l2o3,sfsflo,6,2,0,GM,2,0,1,0,0,0,,,6
20180128-M-Australian_Open-F-Marin_Cilic-Roger_Federer,7,0,0,0,1,0-0,2,1,0,,2,1,RF,6n,4f29d@,,6n,4f29d@,0,0,6n,4f29d@,0,1,0,1,6n,4,f29d@,0,0,0,0,1,0,f29d,f29,f,1,2,1,15-0,0,0,1,0,0,0,,,1
20180128-M-Australian_Open-F-Marin_Cilic-Roger_Federer,8,0,0,0,1,15-0,2,1,0,,2,1,RF,6f37f+1*,,,6f37f+1*,,0,,6f37f+1*,,1,,1,0,6,,f37f+1*,0,0,1,0,0,0,f37f1,f37f1,ff,2,2,1,30-0,0,0,1,0,0,0,,,3
20180128-M-Australian_Open-F-Marin_Cilic-Roger_Federer,9,0,0,0,1,30-0,2,1,0,,2,1,RF,6+s27v1f3n#,,,6+s27v1f3n#,,1,,6s27v1f3n#,,1,,1,0,6,,s27v1f3n#,0,0,0,1,0,0,s27v1f3n,s27v1f3,svf,3,2,1,40-0,0,0,1,0,0,0,,,3
20180128-M-Australian_Open-F-Marin_Cilic-Roger_Federer,10,0,0,0,1,40-0,2,1,0,,2,1,RF,4b29f1*,,Typical Federer low FH winner.,4b29f1*,,0,,4b29f1*,,1,,1,0,4,,b29f1*,0,0,1,0,0,0,b29f1,b29f1,bf,2,2,1,GM,2,0,2,0,0,0,,,3
20180128-M-Australian_Open-F-Marin_Cilic-Roger_Federer,11,0,0,0,2,0-0,3,1,0,,1,2,MC,6b38b3w@,,,6b38b3w@,,0,,6b38b3w@,,1,,1,0,6,,b38b3w@,0,0,0,0,1,0,b38b3w,b38b3,bb,2,2,0,0-15,0,0,2,0,0,0,,,2
